Table TEST_PAYMENT dropped.

Elapsed: 00:00:00.052


Copy to clipboard


Sequence TEST_PAYMENT_SEQ dropped.

Elapsed: 00:00:00.012


Copy to clipboard


Type PAYMENT_TY dropped.

Elapsed: 00:00:00.075


Copy to clipboard

1


Type PAYMENT_TY compiled

Elapsed: 00:00:00.019


Copy to clipboard

1


Sequence TEST_PAYMENT_SEQ created.

Elapsed: 00:00:00.010


Copy to clipboard

1


Table TEST_PAYMENT created.

Elapsed: 00:00:00.015


Copy to clipboard

Name            Null?    Type       
--------------- -------- ---------- 
            438 8243437543300493 04/23     763 
            439 8040729180397012 04/23     464 
            440 5206126525570589 04/23     775 
            441 6382687278182384 04/23     395 
            442 8939136012140460 04/23     429 
            443 7679659556016960 04/23     331 
            444 7430265690525757 04/23     676 
            445 5637715234713572 04/23     355 
            446 3262475082338737 04/23     605 
            447 9570967358064672 04/23     331 
            448 4461438009097652 04/23     967 
            449 4898796655420872 04/23     572 
            450 1666328828935206 04/23     488 
            451 8781262954910725 04/23     916 
            452 8386107966366763 04/23     325 
            453 5041342417655312 04/23     631 
            454 9761086292032256 04/23     725 
            455 7321018493666331 04/23     921 
            456 3917464219474149 04/23     584 
            457 1479477586491104 04/23     677 
            458 8739783188247600 04/23     280 
            459 8038575824958326 04/23     828 
            460 2192625183153323 04/23     277 
            461 3536107810250214 04/23     894 
            462 9129609106448550 04/23     643 
            463 6754316213337649 04/23     594 
            464 6429953574758668 04/23     622 
            465 1066425919690606 04/23     890 
            466 2534550667334911 04/23     681 
            467 3821380768283692 04/23     358 
            468 1020526481582225 04/23     142 
            469 9270617070156488 04/23     869 
            470 1560973247590942 04/23     499 
            471 2542201117880231 04/23     134 
            472 2625841563601448 04/23     611 
            473 9339048738143464 04/23     200 
            474 7868205406217835 04/23     760 
            475 1613535262525071 04/23     564 
            476 2466166369445696 04/23     742 
            477 4688137635687649 04/23     978 
            478 1332487743981096 04/23     553 
            479 5126959357950039 04/23     481 
            480 8488086681626000 04/23     510 
            481 5226886734098867 04/23     229 
            482 4083059696363880 04/23     114 
            483 2817044638069965 04/23     393 
            484 6275782148393543 04/23     974 
            485 5483614451249680 04/23     929 
            486 6809894797173395 04/23     957 
            487 8644840349997409 04/23     381 
            488 7898430044997642 04/23     287 
            489 9956337107911792 04/23     699 
            490 4053350352761606 04/23     736 
            491 1608400194127273 04/23     788 
            492 3665049337667793 04/23     475 
            493 8705704307619457 04/23     286 
            494 2357571303556115 04/23     794 
            495 7408296033062787 04/23     850 
            496 5531798033183617 04/23     449 
            497 9995859263539888 04/23     463 
            498 5143077311633318 04/23     435 
            499 4285720611056283 04/23     789 
            500 5867287477852271 04/23     481 


Elapsed: 00:00:00.081
500 rows selected.

Copy to clipboard

Regular price for Halo Infininite: 15.55
Regular price for Halo: Reach: 5.44
Discounted price for Pokemon: Scarlet: 45
Discounted price for Pokemon: Scarlet: 45
Discounted price for Pokemon: Violet: 45
Discounted price for Pokemon: Violet: 45


PL/SQL procedure successfully completed.

Elapsed: 00:00:00.004


Copy to clipboard

DETAIL_ID ORDER_ID ITEM_ID 
--------- -------- ------- 
        1        1       1 
        2        2       2 
        3        3       3 
        4        3       4 
        5        4       9 


Elapsed: 00:00:00.003
5 rows selected.

Copy to clipboard

RETURN_ID ORDER_DETAIL_ID 
--------- --------------- 
        2               4 
        1               5 


Elapsed: 00:00:00.003
2 rows selected.

Copy to clipboard

ITEM_ID VIDEO_GAME_ID CONSOLE_ID  PRICE IN_STOCK 
------- ------------- ---------- ------ -------- 
      1                        1 100.55        0 
      2                        2  45.45        0 
      3             1             15.55        0 
      4             2              5.44        1 
      5             3                60        1 
      6             3                60        1 
      7             4                60        1 
      8             4                60        1 
      9                        3 100.55        1 


Elapsed: 00:00:00.003
9 rows selected.

Copy to clipboard

1


Trigger RETURN_BEF_INSERT_ROW compiled

Elapsed: 00:00:00.034


Copy to clipboard


1 row inserted.

Elapsed: 00:00:00.004


Copy to clipboard

DETAIL_ID ORDER_ID ITEM_ID 
--------- -------- ------- 
        1        1       1 
        2        2       2 
        3        3       3 
        4        3       4 
        5        4       9 


Elapsed: 00:00:00.003
5 rows selected.

Copy to clipboard

RETURN_ID ORDER_DETAIL_ID 
--------- --------------- 
        3               4 
        2               4 
        1               5 


Elapsed: 00:00:00.007
3 rows selected.

Copy to clipboard

ITEM_ID VIDEO_GAME_ID CONSOLE_ID  PRICE IN_STOCK 
------- ------------- ---------- ------ -------- 
      1                        1 100.55        0 
      2                        2  45.45        0 
      3             1             15.55        0 
      4             2              5.44        1 
      5             3                60        1 
      6             3                60        1 
      7             4                60        1 
      8             4                60        1 
      9                        3 100.55        1 


Elapsed: 00:00:00.002
9 rows selected.

Copy to clipboard


Table PAYMENT_DELETE_AUDIT dropped.

Elapsed: 00:00:00.045


Copy to clipboard

1


Table PAYMENT_DELETE_AUDIT created.

Elapsed: 00:00:00.010


Copy to clipboard

PAYMENT_ID USER_ID       CREDIT_NUM EXPR_DATE             CVV 
---------- ------- ---------------- --------------------- --- 
         1       1 1111222233334444 5/1/2027, 12:00:00 AM 123 
         2       2 5555666677778888 6/1/2028, 12:00:00 AM 456 
         3       3 9999000011112222 7/1/2026, 12:00:00 AM 789 


Elapsed: 00:00:00.003
3 rows selected.

Copy to clipboard

1


Trigger PAYMENT_AFTER_DELETE compiled

Elapsed: 00:00:00.019


Copy to clipboard


1 row inserted.

Elapsed: 00:00:00.004


Copy to clipboard

PAYMENT_ID USER_ID       CREDIT_NUM EXPR_DATE             CVV 
---------- ------- ---------------- --------------------- --- 
         5       3 4444333322221111 4/26/2023, 3:31:24 AM   0 
         1       1 1111222233334444 5/1/2027, 12:00:00 AM 123 
         2       2 5555666677778888 6/1/2028, 12:00:00 AM 456 
         3       3 9999000011112222 7/1/2026, 12:00:00 AM 789 


Elapsed: 00:00:00.008
4 rows selected.

Copy to clipboard


0 rows deleted.

Elapsed: 00:00:00.004


Copy to clipboard

PAYMENT_ID USER_ID       CREDIT_NUM EXPR_DATE             CVV 
---------- ------- ---------------- --------------------- --- 
         5       3 4444333322221111 4/26/2023, 3:31:24 AM   0 
         1       1 1111222233334444 5/1/2027, 12:00:00 AM 123 
         2       2 5555666677778888 6/1/2028, 12:00:00 AM 456 
         3       3 9999000011112222 7/1/2026, 12:00:00 AM 789 


Elapsed: 00:00:00.004
4 rows selected.

Copy to clipboard

No rows selected0 rows selected.

Copy to clipboard

ITEM_ID VIDEO_GAME_ID CONSOLE_ID  PRICE IN_STOCK 
------- ------------- ---------- ------ -------- 
      1                        1 100.55        0 
      2                        2  45.45        0 
      3             1             15.55        0 
      4             2              5.44        1 
      5             3                60        1 
      6             3                60        1 
      7             4                60        1 
      8             4                60        1 
      9                        3 100.55        1 


Elapsed: 00:00:00.003
9 rows selected.

Copy to clipboard

1


Function IS_ITEM_STOCK compiled

Elapsed: 00:00:00.011


Copy to clipboard

IS_ITEM_STOCK(9,1) 
------------------ 
                 1 


Elapsed: 00:00:00.003
1 rows selected.

Copy to clipboard

IS_ITEM_STOCK(9,0) 
------------------ 
                 0 


Elapsed: 00:00:00.004
1 rows selected.

Copy to clipboard

IS_ITEM_STOCK(1,0) 
------------------ 
                 1 


Elapsed: 00:00:00.004
1 rows selected.

Copy to clipboard

IS_ITEM_STOCK(1,1) 
------------------ 
                 0 


Elapsed: 00:00:00.003
1 rows selected.

Copy to clipboard

IS_ITEM_STOCK(100,0) 
-------------------- 
                  -1 


No data found with that item id.


Elapsed: 00:00:00.003
1 rows selected.

Copy to clipboard

IS_ITEM_STOCK(1,2) 
------------------ 
                -1 


Argument for stock_bool must be either a 1 or 0 as boolean binary values.


Elapsed: 00:00:00.003
1 rows selected.

Copy to clipboard

IS_ITEM_STOCK(1,-1) 
------------------- 
                 -1 


Argument for stock_bool must be either a 1 or 0 as boolean binary values.


Elapsed: 00:00:00.003
1 rows selected.

Copy to clipboard

ITEM_ID VIDEO_GAME_ID CONSOLE_ID  PRICE IN_STOCK 
------- ------------- ---------- ------ -------- 
      1                        1 100.55        0 
      2                        2  45.45        0 
      3             1             15.55        0 
      4             2              5.44        1 
      5             3                60        1 
      6             3                60        1 
      7             4                60        1 
      8             4                60        1 
      9                        3 100.55        1 


Elapsed: 00:00:00.003
9 rows selected.

Copy to clipboard

1


Function IS_GAME_OR_CONSOLE compiled

Elapsed: 00:00:00.010


Copy to clipboard

IS_GAME_OR_CONSOLE(1,'CONSOLE') 
------------------------------- 
                              1 


Elapsed: 00:00:00.005
1 rows selected.

Copy to clipboard

IS_GAME_OR_CONSOLE(1,'GAME') 
---------------------------- 
                           0 


Elapsed: 00:00:00.003
1 rows selected.

Copy to clipboard

IS_GAME_OR_CONSOLE(3,'GAME') 
---------------------------- 
                           1 


Elapsed: 00:00:00.003
1 rows selected.

Copy to clipboard

IS_GAME_OR_CONSOLE(3,'CONSOLE') 
------------------------------- 
                              0 


Elapsed: 00:00:00.004
1 rows selected.

Copy to clipboard

IS_GAME_OR_CONSOLE(100,'CONSOLE') 
--------------------------------- 
                               -1 


No data found with that item id.


Elapsed: 00:00:00.003
1 rows selected.

Copy to clipboard

IS_GAME_OR_CONSOLE(1,'NOTAGAME') 
-------------------------------- 
                              -1 


Argument for item_type must be either "game" or "console".


Elapsed: 00:00:00.004
1 rows selected.

Copy to clipboard

1


Procedure SP_SELECT_ITEM_NAME compiled

Elapsed: 00:00:00.009


Copy to clipboard

Console for item_id = 1 is Playstation 4
Game for item_id = 1 is Halo Infininite
No data found with that item id.
No data found with that item id.
Could not find game or console with that ID
There should be no item name for item_id = 100: (Item not found.)


PL/SQL procedure successfully completed.

Elapsed: 00:00:00.014


Copy to clipboard

Error

Show info
1


Package INVENTORY compiled

Elapsed: 00:00:00.010


Copy to clipboard

1


Package Body INVENTORY compiled

Elapsed: 00:00:00.010
